net,length_um
_12494_,368.35
_06284_,368.02
_07097_,367.625
decode.id_ex_rs1_data_reg\[19\],367.59
_07099_,366.8
_03594_,366.5
execute.io_target_pc\[22\],366.395
_07114_,366.12
_10194_,366.05
_08221_,365.94
clknet_5_8__leaf_clock,365.62
clknet_5_4__leaf_clock,365.56
csr.io_mem_pc\[12\],364.86
_06219_,364.3
_08531_,364.24
_07082_,363.79
_08982_,363.7
net109,363.27
_08323_,362.68
_08289_,362.38
_07100_,362.15
_10630_,362.12
_08198_,361.92
_11062_,361.81
_07076_,361.7
execute.io_target_pc\[29\],361.6
_08960_,361.38
clknet_5_12__leaf_clock,360.855
clknet_5_2__leaf_clock,360.26
_09389_,360.08
_10557_,360.08
execute.io_target_pc\[13\],360
_08232_,359.9
net108,359.7
_06025_,359
_06241_,358.4
_04443_,357.67
_05454_,357.585
_06678_,357.3
execute.io_target_pc\[23\],357.27
_10962_,357.105
_06422_,356.01
_08778_,355.54
_06188_,355.38
clknet_5_14__leaf_clock,355.245
_08119_,355.07
net120,353.94
_10101_,353.815
_05864_,353.68
_10642_,353.615
_08962_,353.47
net106,353.11
clknet_5_15__leaf_clock,351.72
_11015_,351.6
net129,351.59
_06677_,351.02
_04261_,350
_12551_,349.785
_10373_,349.38
_08966_,349.36
_06700_,349.1
_08952_,348.67
_11057_,348.46
decode.id_ex_rs1_data_reg\[18\],348.41
decode.id_ex_rs1_data_reg\[17\],348.305
_08848_,348.28
net91,348.075
_10625_,347.99
net14,347.715
net75,347.7
_10640_,347.55
_00713_,347.295
_07669_,346.68
_08973_,346.46
clknet_5_29__leaf_clock,346.44
_03587_,346.16
_06636_,345.96
clknet_5_9__leaf_clock,345.62
net8,345.295
_08266_,345.14
_11143_,345.095
_10245_,344.71
clknet_5_11__leaf_clock,344.49
_06699_,344.355
decode.id_ex_rs1_data_reg\[14\],343.62
decode.id_ex_rs2_data_reg\[15\],342.86
net74,342.83
clknet_5_3__leaf_clock,342.82
_08367_,342.1
_07080_,342.07
clknet_5_6__leaf_clock,342.04
_10910_,341.64
_06450_,341.34
net114,341.23
net83,340.8
_07112_,340.79
_03835_,340.61
_03517_,340.56
_06632_,340.06
net227,339.86
csr._mcycle_T_2\[28\],339.81
execute.io_target_pc\[28\],339.75
_06878_,339.7
_03709_,339.13
net119,338.985
net81,338.96
_00708_,338.5
_10619_,338.35
execute.io_target_pc\[5\],338.32
_08920_,338.12
_03639_,337.54
_06673_,337.4
_11045_,336.64
_06252_,336.47
net128,336.15
net127,336.12
_10576_,335.37
_09984_,335.345
_08916_,334.73
_11032_,334.71
_09907_,334.08
_08153_,333.88
decode.immGen._imm_T_24\[17\],332.85
_10147_,332.72
net115,332.7
_10633_,332.02
net112,332.01
_10612_,331.79
net113,331.485
_09387_,331.33
_10631_,331.07
_07384_,331.04
csr._mcycle_T_2\[27\],330.64
_06650_,329.84
net77,329.84
_08334_,329.8
_11033_,329.61
_09957_,329.6
_07961_,329.44
_09426_,329.31
decode.id_ex_rs1_data_reg\[23\],329.27
decode.id_ex_ex_rd_reg\[0\],328.87
_09881_,328.8
_06210_,328.61
_09896_,328.26
_08918_,328.185
net131,328.08
clknet_5_0__leaf_clock,328.03
_08058_,327.9
_07103_,327.78
decode.id_ex_rs1_data_reg\[27\],327.51
execute.io_target_pc\[31\],327.42
_04618_,326.99
_10127_,326.31
_08187_,325.96
decode.id_ex_rs1_data_reg\[15\],325.63
clknet_5_7__leaf_clock,325.62
_08975_,325.31
_08902_,324.93
_04503_,324.445
_10063_,323.9
_08914_,323.615
_00714_,323.565
_06690_,322.98
_08003_,322.58
_07067_,321.84
execute.io_target_pc\[18\],321.46
decode.id_ex_rs1_data_reg\[21\],321.25
net121,321.05
_09999_,320.395
_09884_,320.17
_10587_,318.59
_06274_,317.98
_05858_,317.835
_06707_,317.66
decode.id_ex_rs1_data_reg\[16\],317.25
_12569_,317.235
_12535_,316.935
csr.mcycle\[23\],316.715
_09430_,316.33
_04496_,316.285
net125,315.65
_12523_,315.45
_03844_,315.415
_08164_,315.01
_09379_,314.97
net122,314.705
csr._mcycle_T_2\[20\],313.93
_06628_,313.4
_10940_,313.29
_10933_,313.14
_06199_,312.68
_10008_,312.16
_12882_,311.91
_03863_,311.77
execute.csr_read_data_out_reg\[15\],311.77
net101,311.51
_08439_,311.44
_04589_,310.87
_10142_,310.76
_10668_,310.72
csr._mcycle_T_2\[21\],310.54
_09905_,310.08
_04445_,309.85
_09898_,309.615
_09910_,309.51
decode.id_ex_rs2_data_reg\[4\],309.08
_05868_,308.825
execute.io_target_pc\[12\],308.24
clknet_5_28__leaf_clock,308.18
_06230_,308.11
net123,307.99
_03728_,307.76
_10068_,307.44
clknet_5_27__leaf_clock,307.18
execute.io_target_pc\[1\],306.74
_06157_,306.21
_03449_,306.02
execute.io_target_pc\[0\],306.01
_09412_,305.9
_10931_,305.395
_10599_,305.35
clknet_5_10__leaf_clock,305.06
_04452_,304.27
_09436_,303.555
_06622_,302.75
_12532_,302.54
_10577_,302.4
clknet_5_18__leaf_clock,301.66
_07071_,301.53
_09381_,301.45
_10616_,300.82
_06617_,300.56
_11225_,300.315
_09415_,300.05
_06631_,299.945
net31,299.28
csr._mcycle_T_2\[26\],299.26
_06635_,299.04
_08607_,299.01
_06621_,298.62
_12511_,298.25
_09424_,298.18
_03670_,297.91
_09422_,297.9
_12540_,297.43
_10637_,296.49
_10052_,295.57
_08255_,295.55
_08912_,295.42
_06615_,295.26
decode.id_ex_memread_reg,294.725
execute.io_target_pc\[17\],293.765
net220,293.665
_09432_,292.72
_09450_,292.715
net124,292.65
decode.id_ex_ex_rd_reg\[4\],292.15
_05414_,291.75
_09420_,291.43
_04526_,291.155
clknet_5_24__leaf_clock,290.5
execute.io_target_pc\[3\],290.23
fetch.bht.bhtTable_tag_MPORT_en,290
_09434_,289.78
csr._mcycle_T_2\[16\],289.61
_11187_,289.55
_04019_,289.31
_10593_,289.3
_07929_,289.06
_05425_,289
decode.id_ex_rs2_data_reg\[20\],288.88
_10195_,288.03
_00002_,287.28
_09983_,287.16
net225,286.86
net222,286.515
_07106_,285.85
_10624_,285.39
clknet_5_26__leaf_clock,284.78
execute.io_target_pc\[19\],284.46
execute.io_target_pc\[21\],284.34
_11066_,284.22
execute.io_target_pc\[30\],284.22
net191,283.96
_11036_,283.78
_00717_,282.8
_06032_,282.54
_11044_,282.48
_08473_,282.31
_04408_,282.21
_00707_,281.94
_09318_,281.94
clknet_5_5__leaf_clock,281.88
_09100_,281.595
_09428_,281.31
csr._mcycle_T_2\[29\],280.485
_12794_,280.41
decode.id_ex_imm_reg\[13\],279.44
_07992_,279.07
_00701_,278.975
net331,278.38
_10615_,278.19
_11019_,278.045
_06481_,277.425
_10617_,276.74
_11048_,276.415
_12524_,276.3
_07110_,275.92
net16,275.915
clknet_5_31__leaf_clock,275.68
_10047_,275.57
_09025_,275.54
_05716_,275.48
_10116_,275.35
_11049_,275.08
_09975_,275
_06672_,274.68
_12649_,273.75
csr._mcycle_T_2\[18\],273.15
_12508_,273.06
_03500_,272.96
net107,272.96
_11065_,272.72
_06439_,272.5
decode.id_ex_rs1_data_reg\[22\],272.17
_07483_,272.14
_12550_,271.97
net211,271.96
net226,271.58
_07940_,271.32
_06651_,271.22
net17,270.835
_07386_,270.64
net194,270.46
_04465_,269.92
decode.id_ex_imm_reg\[29\],269.82
_07284_,268.56
_06336_,268.44
_06718_,268.2
net15,268.08
net89,267.35
net11,267.32
decode.id_ex_rs2_data_reg\[23\],267.15
csr._mcycle_T_2\[30\],266.91
_05219_,266.82
_06282_,266.81
_03636_,266.57
_07972_,266.22
execute.csr_read_data_out_reg\[13\],266.04
_04332_,265.86
_11134_,265.74
_03944_,265.66
_06041_,265.19
_09525_,264.995
_09993_,264.82
net7,264.475
_11067_,264.39
clknet_5_23__leaf_clock,263.9
_04981_,263.5
_12546_,263.25
_06327_,263.18
_11410_,263.04
_00711_,262.625
_04982_,262.52
csr._mcycle_T_2\[15\],262.4
net9,262.16
decode.id_ex_rs1_data_reg\[9\],262.09
_09277_,262.01
_03718_,261.96
_10973_,261.28
_07407_,261.08
_11257_,261.06
_09490_,260.63
csr._mcycle_T_2\[11\],260.29
_05621_,260.26
_09533_,260.22
_06618_,260.17
_09328_,259.96
_09440_,259.94
_10149_,259.9
net1,259.36
_10646_,259.32
_06426_,258.83
net10,258.755
_11503_,258.71
csr._mcycle_T_2\[19\],258.46
_03741_,258.365
net147,258.16
_00577_,258.04
net224,257.665
_11046_,257.54
_06186_,257.22
_10960_,257.21
_08910_,257.185
_11142_,257.015
_12650_,256.69
_09377_,256.51
decode.id_ex_rs1_data_reg\[20\],256.445
_06943_,256.28
_09901_,256.155
_06887_,256.02
clknet_5_20__leaf_clock,255.86
_11047_,254.925
net280,254.72
_10915_,254.66
_06566_,254.43
_11407_,254.35
clknet_5_22__leaf_clock,254.24
_09484_,254.22
_06331_,254.04
_07199_,253.95
_03516_,253.84
_04504_,253.73
_10647_,253.72
_09241_,253.63
_13273_,253.52
net13,253.42
_09784_,253
decode.id_ex_rs2_data_reg\[19\],252.78
_05759_,252.74
_07446_,252.58
_12626_,252.51
_07130_,252.11
decode.id_ex_imm_reg\[15\],252.09
net92,251.935
_09567_,251.88
_07098_,251.68
_09383_,251.34
_06155_,251.1
_05004_,250.66
_10024_,250.62
_04505_,250.55
_09930_,250.44
_06250_,250.38
_04359_,250.17
_06480_,250.01
_12531_,249.91
_07148_,249.88
_11076_,249.87
_10648_,249.86
net56,249.8
decode.id_ex_ex_rd_reg\[2\],249.55
_10611_,249.27
_09059_,249.22
_02189_,248.92
_04442_,248.91
_12499_,248.89
_10989_,248.65
_02190_,248.41
net196,248.04
execute.csr_read_data_out_reg\[9\],247.95
_09441_,247.885
_04620_,247.82
decode.id_ex_rs2_data_reg\[14\],247.82
_04282_,247.64
_07406_,247.6
_00576_,247.305
_06217_,247.255
_09443_,247.18
_02192_,247.165
decode.id_ex_rs2_data_reg\[11\],246.97
_04454_,246.89
_11125_,246.85
_10613_,246.48
_06795_,246.4
decode.regfile.registers_12\[24\],245.735
net223,245.52
_04289_,245.5
_11217_,245.09
_04238_,244.85
decode.id_ex_imm_reg\[17\],244.76
_10030_,244.585
decode.id_ex_rs1_data_reg\[7\],244.5
_07710_,244.31
_09992_,244.27
_10924_,244.06
_10146_,244.04
net66,244.03
_12878_,243.81
_06862_,243.63
_09285_,243.49
execute.io_target_pc\[25\],243.39
_06642_,243.17
_05439_,242.78
execute.csr_read_data_out_reg\[17\],242.76
_07368_,242.73
_05945_,242.7
_03704_,242.65
decode.id_ex_rs2_data_reg\[21\],242.62
_09970_,242.6
_11251_,242.51
csr._mcycle_T_2\[17\],242.48
_09359_,242.29
_10411_,242.28
_03721_,242.22
_10639_,242.19
_06661_,242.03
_12588_,242
execute.csr_read_data_out_reg\[21\],241.95
decode.id_ex_pc_reg\[26\],241.86
_11205_,241.395
_04234_,240.44
decode.id_ex_imm_reg\[16\],240.07
_07708_,239.96
_10426_,239.32
_09235_,239.27
_07959_,239.17
