net,length_um
_03052_,76.44
_04039_,76.43
_09092_,76.32
decode.control.io_funct7\[3\],76.32
_03833_,76.26
clknet_leaf_227_clock,76.26
decode.regfile.registers_1\[16\],76.24
_05169_,76.23
_00643_,76.22
_13000_,76.22
clknet_leaf_82_clock,76.16
_11115_,76.14
decode.regfile.registers_15\[29\],76.14
clknet_leaf_355_clock,76.14
_04417_,76.13
_05490_,76.12
csr.mcycle\[26\],76.12
decode.regfile.registers_10\[28\],76.11
clknet_leaf_330_clock,76.11
_12712_,76.1
_13262_,76.08
decode.regfile.registers_18\[4\],76.06
_04484_,76.02
_08927_,76
_09796_,76
clknet_leaf_282_clock,76
decode.regfile.registers_4\[13\],75.96
_12063_,75.95
_10535_,75.94
_12052_,75.92
_12691_,75.88
_09862_,75.86
_11484_,75.8
_07904_,75.78
_05584_,75.76
_09125_,75.715
_04917_,75.7
decode.regfile.registers_8\[18\],75.7
_04108_,75.68
clknet_leaf_251_clock,75.67
clknet_leaf_198_clock,75.65
_11754_,75.64
_13081_,75.64
decode.regfile.registers_6\[21\],75.64
clknet_leaf_270_clock,75.58
_10721_,75.57
_09885_,75.54
_13300_,75.54
_09329_,75.52
_07417_,75.48
_10959_,75.48
_13464_,75.44
fetch.btb.btbTable\[4\]\[1\],75.44
clknet_leaf_309_clock,75.44
_11549_,75.35
clknet_leaf_60_clock,75.34
_07597_,75.3
_09648_,75.3
_13085_,75.28
_05915_,75.24
_03469_,75.22
decode.regfile.registers_13\[29\],75.2
_12220_,75.19
_02986_,75.14
decode.regfile.registers_9\[17\],75.13
_04240_,75.12
decode.regfile.registers_8\[16\],75.085
decode.regfile.registers_2\[20\],75.08
clknet_leaf_329_clock,75.08
_12805_,75.04
clknet_leaf_112_clock,75.02
decode.control.io_funct7\[0\],74.995
clknet_leaf_213_clock,74.98
_04482_,74.96
_07773_,74.96
net308,74.95
decode.regfile.registers_1\[11\],74.92
decode.regfile.registers_0\[4\],74.905
_04276_,74.88
_04357_,74.88
_04044_,74.86
_12165_,74.84
_00435_,74.82
_04405_,74.8
_10262_,74.78
csr.io_mret_vector\[31\],74.78
_03854_,74.77
clknet_leaf_239_clock,74.72
net586,74.72
_11860_,74.68
csr._minstret_T_3\[60\],74.64
csr.io_mret_vector\[6\],74.64
decode.regfile.registers_18\[1\],74.64
clknet_leaf_324_clock,74.64
_06002_,74.62
_09736_,74.62
_02994_,74.61
_12470_,74.6
clknet_leaf_30_clock,74.58
_04689_,74.52
clknet_leaf_64_clock,74.52
decode.regfile.registers_11\[29\],74.51
decode.id_ex_pc_reg\[8\],74.485
decode.regfile.registers_8\[22\],74.42
_03102_,74.34
decode.regfile.registers_12\[17\],74.3
_11533_,74.28
_05798_,74.27
_11721_,74.26
_08923_,74.24
decode.regfile.registers_24\[31\],74.23
_10732_,74.16
decode.regfile.registers_9\[21\],74.14
decode.regfile.registers_13\[26\],74.11
_06462_,74.09
net355,74.07
decode.regfile.registers_15\[14\],74.025
_12613_,74.02
_07208_,74.01
_00432_,74.005
_10444_,74
_04670_,73.94
decode.regfile.registers_24\[19\],73.92
clknet_leaf_104_clock,73.92
_10304_,73.9
decode.regfile.registers_27\[22\],73.9
decode.regfile.registers_28\[21\],73.84
decode.regfile.registers_2\[27\],73.82
decode.regfile.registers_25\[23\],73.8
_04042_,73.755
decode.regfile.registers_6\[24\],73.745
_09733_,73.735
fetch.btb.btbTable\[5\]\[1\],73.72
clknet_leaf_113_clock,73.71
_13170_,73.7
decode.regfile.registers_14\[13\],73.7
clknet_leaf_225_clock,73.7
_04094_,73.68
_08907_,73.68
decode.regfile.registers_14\[29\],73.68
decode.regfile.registers_9\[2\],73.68
csr.io_mret_vector\[7\],73.66
net2334,73.64
_12128_,73.6
net723,73.6
_11857_,73.58
decode.regfile.registers_0\[0\],73.56
decode.regfile.registers_11\[11\],73.56
_09242_,73.55
clknet_leaf_101_clock,73.54
_04797_,73.48
clknet_leaf_92_clock,73.42
clknet_leaf_111_clock,73.37
clknet_leaf_250_clock,73.32
_04046_,73.3
_04122_,73.28
_06543_,73.24
clknet_leaf_262_clock,73.22
_00894_,73.185
decode.regfile.registers_8\[29\],73.12
_04633_,73.1
_11689_,73.1
_07706_,73.08
_10913_,73.08
decode.regfile.registers_10\[12\],73.08
_03139_,73
_04164_,72.98
decode.regfile.registers_17\[24\],72.98
net2436,72.94
_10707_,72.92
csr.mcycle\[4\],72.86
decode.regfile.registers_5\[26\],72.82
_13006_,72.8
_09243_,72.78
csr.io_mret_vector\[22\],72.74
clknet_leaf_242_clock,72.68
decode.regfile.registers_20\[24\],72.64
_11708_,72.6
decode.regfile.registers_26\[24\],72.6
decode.regfile.registers_24\[28\],72.56
net219,72.55
csr.minstret\[26\],72.54
clknet_leaf_77_clock,72.515
_05197_,72.51
decode.control.io_opcode\[5\],72.505
_09356_,72.475
decode.regfile.registers_22\[25\],72.44
_05992_,72.42
decode.regfile.registers_11\[17\],72.35
_00445_,72.345
_09049_,72.34
decode.regfile.registers_18\[23\],72.34
clknet_leaf_260_clock,72.32
clknet_leaf_176_clock,72.26
net208,72.22
_12257_,72.18
_04030_,72.16
clknet_leaf_291_clock,72.115
_04605_,72.1
_12949_,72.08
_13399_,72.07
clknet_leaf_131_clock,72.04
_09665_,72
decode.regfile.registers_17\[30\],71.96
_10731_,71.92
decode.regfile.registers_2\[13\],71.9
_07843_,71.88
_00565_,71.865
clknet_leaf_304_clock,71.72
_02979_,71.7
_11635_,71.66
_13252_,71.64
csr.io_mret_vector\[30\],71.64
_12198_,71.62
_05911_,71.61
net283,71.595
_04471_,71.54
_09951_,71.54
clknet_leaf_147_clock,71.48
_03407_,71.46
clknet_leaf_12_clock,71.46
decode.regfile.registers_2\[15\],71.44
decode.regfile.registers_16\[29\],71.4
decode.regfile.registers_26\[22\],71.38
clknet_leaf_263_clock,71.36
decode.regfile.registers_23\[19\],71.34
clknet_leaf_38_clock,71.34
net2181,71.34
_04342_,71.33
clknet_leaf_26_clock,71.3
_04745_,71.26
decode.regfile.registers_15\[3\],71.26
decode.regfile.registers_16\[10\],71.24
decode.regfile.registers_10\[0\],71.22
decode.regfile.registers_25\[1\],71.22
_03166_,71.2
_11520_,71.2
_03321_,71.08
_03660_,71.08
decode.regfile.registers_18\[24\],71.08
clknet_leaf_68_clock,71.06
clknet_leaf_178_clock,71.06
_04965_,71.05
_05998_,71.03
decode.regfile.registers_3\[19\],71.02
decode.regfile.registers_9\[0\],70.98
_07862_,70.92
csr.mcycle\[13\],70.905
_04060_,70.88
decode.regfile.registers_14\[5\],70.8
clknet_leaf_181_clock,70.76
_10268_,70.75
_04785_,70.73
decode.regfile.registers_7\[2\],70.73
_11938_,70.72
_03183_,70.71
_06752_,70.7
decode.regfile.registers_17\[18\],70.7
clknet_leaf_169_clock,70.7
csr._minstret_T_3\[51\],70.66
decode.regfile.registers_1\[19\],70.66
decode.regfile.registers_5\[22\],70.66
clknet_leaf_23_clock,70.66
decode.regfile.registers_19\[20\],70.61
_09535_,70.58
_09865_,70.56
_10607_,70.55
_11014_,70.535
_06015_,70.52
_03633_,70.505
decode.regfile.registers_22\[21\],70.5
_06515_,70.48
decode.regfile.registers_19\[24\],70.48
_11461_,70.45
_13130_,70.32
_07221_,70.23
_09353_,70.21
_13395_,70.21
decode.regfile.registers_14\[22\],70.18
_04129_,70.16
clknet_leaf_180_clock,70.16
_12302_,70.08
_03088_,70.07
_07381_,70.02
_13204_,69.96
_07347_,69.935
_11717_,69.92
decode.regfile.registers_13\[25\],69.92
_12642_,69.9
decode.regfile.registers_14\[19\],69.9
_07685_,69.88
clknet_leaf_293_clock,69.86
_12584_,69.85
clknet_leaf_191_clock,69.82
_10223_,69.81
decode.regfile.registers_9\[7\],69.79
_11384_,69.78
_11828_,69.78
decode.regfile.registers_24\[18\],69.76
clknet_leaf_18_clock,69.72
_07157_,69.7
clknet_leaf_86_clock,69.7
_07089_,69.635
_03955_,69.6
_09926_,69.6
_02997_,69.585
_03487_,69.57
_12232_,69.54
decode.regfile.registers_3\[17\],69.54
_03464_,69.51
_03710_,69.5
decode.regfile.registers_15\[22\],69.5
_03635_,69.48
decode.regfile.registers_11\[1\],69.42
_09129_,69.37
_09390_,69.34
_13080_,69.32
_11706_,69.28
_12323_,69.28
_12992_,69.26
_03356_,69.22
_11545_,69.2
_09666_,69.19
csr.minstret\[27\],69.14
clknet_leaf_192_clock,69.14
csr._csr_read_data_T_8\[8\],69.12
decode.regfile.registers_26\[23\],69.12
_12272_,69.1
clknet_leaf_206_clock,69
_00431_,68.985
decode.regfile.registers_20\[23\],68.985
_00697_,68.975
_11243_,68.94
csr.minstret\[7\],68.94
_13387_,68.93
_04532_,68.92
_11751_,68.92
csr.mscratch\[23\],68.88
decode.regfile.registers_19\[27\],68.88
clknet_leaf_109_clock,68.88
_03436_,68.84
decode.regfile.registers_5\[7\],68.825
csr.minstret\[19\],68.82
decode.regfile.registers_24\[25\],68.8
_00433_,68.78
_03654_,68.78
_07223_,68.74
_11699_,68.74
clknet_leaf_65_clock,68.74
csr.minstret\[10\],68.68
clknet_leaf_310_clock,68.68
decode.regfile.registers_22\[23\],68.66
_10302_,68.62
net2799,68.6
_13438_,68.54
_09579_,68.52
csr._csr_read_data_T_8\[18\],68.52
decode.id_ex_pc_reg\[9\],68.52
_12914_,68.5
csr._csr_read_data_T_8\[25\],68.48
_13335_,68.44
_13290_,68.42
_09515_,68.405
decode.regfile.registers_7\[5\],68.4
_11868_,68.38
_11974_,68.38
clknet_leaf_123_clock,68.38
_13259_,68.36
decode.regfile.registers_3\[27\],68.36
_03046_,68.28
_00444_,68.265
_11737_,68.22
clknet_leaf_116_clock,68.18
clknet_leaf_88_clock,68.12
decode.regfile.registers_23\[22\],68.1
decode.control.io_funct7\[1\],68.07
_07202_,68.06
decode.regfile.registers_10\[6\],68.06
decode.regfile.registers_26\[11\],68.06
_03346_,68.05
_06004_,68.05
_13327_,68.02
_06520_,67.98
decode.regfile.registers_3\[14\],67.945
clknet_leaf_148_clock,67.94
_09182_,67.93
decode.regfile.registers_5\[14\],67.86
_11240_,67.82
_03417_,67.8
_04337_,67.76
_13475_,67.74
clknet_leaf_237_clock,67.74
_03071_,67.7
clknet_leaf_7_clock,67.7
decode.id_ex_pc_reg\[27\],67.695
_09179_,67.69
_13433_,67.66
decode.regfile.registers_18\[3\],67.66
_12810_,67.56
clknet_leaf_341_clock,67.52
_04287_,67.5
decode.regfile.registers_15\[27\],67.5
clknet_leaf_100_clock,67.5
_04905_,67.49
_06012_,67.44
clknet_leaf_39_clock,67.44
_03095_,67.4
_06849_,67.4
_13490_,67.33
_11031_,67.28
_11593_,67.26
_04610_,67.24
_11907_,67.16
_11773_,67.13
_12362_,67.13
_03030_,67.1
_06472_,67.1
_12045_,67
clknet_leaf_271_clock,66.97
csr.io_csr_address\[5\],66.96
_11275_,66.94
decode.regfile.registers_17\[27\],66.92
_06029_,66.9
net149,66.9
_12146_,66.88
decode.regfile.registers_15\[0\],66.88
clknet_leaf_61_clock,66.88
clknet_leaf_189_clock,66.875
_11639_,66.86
clknet_leaf_24_clock,66.86
decode.regfile.registers_20\[27\],66.82
execute.io_mem_regwrite,66.82
decode.regfile.registers_22\[20\],66.78
_06316_,66.77
decode.regfile.registers_18\[27\],66.72
decode.regfile.registers_1\[10\],66.7
clknet_leaf_211_clock,66.7
_06457_,66.69
_13095_,66.69
_04632_,66.68
clknet_leaf_358_clock,66.68
_06023_,66.66
_09026_,66.63
decode.regfile.registers_25\[5\],66.62
csr.io_mret_vector\[4\],66.61
_10975_,66.6
_11330_,66.58
decode.regfile.registers_24\[29\],66.58
_07673_,66.54
_12014_,66.54
decode.regfile.registers_12\[28\],66.54
_13018_,66.52
net2770,66.52
_04265_,66.48
_10936_,66.47
clknet_leaf_183_clock,66.46
csr.io_mret_vector\[26\],66.44
_10330_,66.42
decode.regfile.registers_25\[2\],66.42
clknet_leaf_315_clock,66.34
_13254_,66.3
_12149_,66.27
clknet_leaf_243_clock,66.235
decode.regfile.registers_20\[26\],66.22
_12163_,66.2
decode.regfile.registers_5\[1\],66.19
decode.id_ex_pc_reg\[10\],66.18
_04436_,66.12
_00429_,66.1
_13026_,66.1
_04502_,66.09
decode.immGen._imm_T_24\[15\],66.06
decode.regfile.registers_27\[10\],66.06
decode.regfile.registers_22\[27\],66.04
_04374_,66.02
decode.regfile.registers_26\[21\],66.02
decode.regfile.registers_8\[4\],66
_03212_,65.98
clknet_leaf_345_clock,65.96
clknet_leaf_59_clock,65.94
decode.regfile.registers_25\[7\],65.9
_04096_,65.84
decode.regfile.registers_7\[17\],65.82
decode.regfile.registers_22\[22\],65.76
clknet_leaf_236_clock,65.76
_03373_,65.73
_12085_,65.72
_12236_,65.72
decode.regfile.registers_10\[23\],65.7
clknet_leaf_256_clock,65.7
_12908_,65.68
decode.regfile.registers_25\[26\],65.66
decode.regfile.registers_2\[5\],65.66
decode.regfile.registers_7\[18\],65.66
_10357_,65.6
clknet_leaf_159_clock,65.6
_13199_,65.59
_04224_,65.58
_11768_,65.56
decode.regfile.registers_23\[30\],65.5
decode.regfile.registers_1\[12\],65.46
_12478_,65.44
_13484_,65.43
decode.regfile.registers_4\[17\],65.42
decode.control.io_funct7\[4\],65.4
_03634_,65.36
clknet_leaf_294_clock,65.36
clknet_leaf_307_clock,65.34
_12119_,65.32
decode.regfile.registers_27\[26\],65.32
decode.regfile.registers_12\[11\],65.3
_06746_,65.28
_04431_,65.26
_11150_,65.24
_09689_,65.22
_09226_,65.18
csr.mscratch\[22\],65.18
decode.regfile.registers_24\[1\],65.18
net2789,65.15
clknet_leaf_187_clock,65.14
decode.regfile.registers_1\[25\],65.12
_11521_,65.06
clknet_leaf_171_clock,65.035
clknet_leaf_133_clock,65.02
_06026_,65
_11715_,65
decode.regfile.registers_24\[27\],65
_06363_,64.96
_12410_,64.96
decode.regfile.registers_5\[17\],64.96
_11482_,64.94
_11514_,64.84
_03474_,64.83
_07786_,64.82
_11782_,64.8
decode.regfile.registers_10\[19\],64.8
_03092_,64.78
_03673_,64.78
decode.regfile.registers_28\[18\],64.78
_11082_,64.76
decode.regfile.registers_25\[6\],64.74
_03402_,64.72
_05809_,64.72
_03871_,64.7
_05885_,64.68
_10355_,64.62
decode.regfile.registers_9\[16\],64.605
_07783_,64.56
decode.regfile.registers_13\[30\],64.55
_07210_,64.53
csr.mcycle\[14\],64.52
decode.regfile.registers_4\[29\],64.52
decode.regfile.registers_25\[17\],64.5
decode.regfile.registers_9\[23\],64.5
decode.regfile.registers_18\[26\],64.48
decode.regfile.registers_20\[1\],64.48
clknet_leaf_4_clock,64.48
_06365_,64.46
decode.regfile.registers_28\[16\],64.46
decode.regfile.registers_15\[1\],64.435
_04654_,64.42
clknet_leaf_63_clock,64.42
_04001_,64.4
_06519_,64.37
_12939_,64.37
_04476_,64.36
decode.io_wb_regwrite,64.36
_09936_,64.32
_11959_,64.32
_03335_,64.3
decode.regfile.registers_19\[31\],64.28
_03394_,64.24
decode.regfile.registers_28\[15\],64.2
_03310_,64.18
clknet_leaf_84_clock,64.18
_04463_,64.16
_11386_,64.16
_12952_,64.14
net341,64.13
clknet_leaf_265_clock,64.12
_12093_,64.06
decode.regfile.registers_25\[30\],64.06
decode.regfile.registers_2\[29\],64.04
_11029_,64.02
decode.regfile.registers_13\[19\],64.015
_03938_,64
decode.immGen._imm_T_24\[18\],64
decode.regfile.registers_24\[21\],64
decode.regfile.registers_15\[18\],63.945
_12283_,63.93
_04877_,63.88
decode.regfile.registers_17\[26\],63.88
clknet_leaf_356_clock,63.86
_07621_,63.84
decode.regfile.registers_5\[24\],63.84
_12891_,63.82
_13469_,63.78
_03262_,63.76
_13127_,63.76
decode.regfile.registers_23\[25\],63.76
_12372_,63.735
net2658,63.72
decode.regfile.registers_11\[6\],63.7
decode.regfile.registers_3\[22\],63.7
decode.regfile.registers_8\[27\],63.7
_12344_,63.69
_13293_,63.68
decode.regfile.registers_8\[2\],63.68
decode.regfile.registers_24\[4\],63.66
_13471_,63.64
clknet_leaf_259_clock,63.64
clknet_leaf_95_clock,63.595
_04675_,63.58
_04006_,63.55
_11415_,63.54
_11641_,63.54
_06815_,63.53
decode.regfile.registers_20\[11\],63.53
_10716_,63.52
_13297_,63.48
_07827_,63.44
decode.regfile.registers_24\[14\],63.36
_10943_,63.35
_00424_,63.345
decode.regfile.registers_23\[20\],63.32
_05916_,63.3
clknet_leaf_248_clock,63.3
_05528_,63.28
_02977_,63.24
decode.regfile.registers_6\[30\],63.225
_00623_,63.22
_12441_,63.22
decode.regfile.registers_5\[13\],63.21
_03446_,63.18
csr.io_mem_pc\[2\],63.18
_04480_,63.135
_10154_,63.13
clknet_leaf_78_clock,63.12
decode.immGen._imm_T_10\[1\],63.08
_10951_,63.06
_00438_,63.04
_05199_,63.02
_13322_,63
decode.regfile.registers_21\[28\],63
clknet_leaf_20_clock,63
_03405_,62.98
_04191_,62.98
_11795_,62.96
decode.regfile.registers_5\[21\],62.94
_13375_,62.92
_11665_,62.88
_12341_,62.88
_10950_,62.86
_12692_,62.86
clknet_leaf_174_clock,62.84
csr.minstret\[20\],62.82
decode.regfile.registers_14\[1\],62.82
csr.minstret\[12\],62.815
_13125_,62.78
decode.regfile.registers_8\[14\],62.74
csr.minstret\[2\],62.7
_13248_,62.66
clknet_leaf_231_clock,62.62
clknet_leaf_74_clock,62.6
clknet_leaf_125_clock,62.6
_03122_,62.59
decode.regfile.registers_26\[27\],62.58
_12381_,62.55
execute.io_mem_rd\[2\],62.54
_11007_,62.48
_12450_,62.46
clknet_leaf_287_clock,62.46
net151,62.44
decode.regfile.registers_13\[21\],62.42
execute.io_mem_rd\[4\],62.4
_03299_,62.38
_04017_,62.38
csr.io_mret_vector\[27\],62.36
_10677_,62.34
decode.regfile.registers_1\[6\],62.335
clknet_leaf_81_clock,62.32
decode.regfile.registers_9\[9\],62.31
decode.regfile.registers_4\[15\],62.3
decode.regfile.registers_13\[13\],62.26
clknet_leaf_177_clock,62.24
_06539_,62.22
_04579_,62.2
clknet_leaf_302_clock,62.19
_11975_,62.16
_03199_,62.12
decode.regfile.registers_19\[2\],62.12
_04095_,62.08
_13486_,62.08
clknet_leaf_19_clock,62.08
_04388_,62.04
_11831_,62.04
decode.regfile.registers_4\[20\],62.02
_11442_,62
decode.regfile.registers_19\[28\],61.94
_13144_,61.88
_03366_,61.86
decode.regfile.registers_0\[18\],61.84
_11147_,61.82
decode.regfile.registers_25\[25\],61.82
csr.pie,61.81
decode.regfile.registers_27\[21\],61.8
decode.regfile.registers_25\[18\],61.75
decode.regfile.registers_22\[4\],61.72
_11151_,61.695
_11238_,61.66
_12214_,61.66
_12256_,61.64
decode.regfile.registers_10\[1\],61.64
_04921_,61.6
decode.regfile.registers_17\[0\],61.56
_12979_,61.55
_09856_,61.54
_04924_,61.52
decode.regfile.registers_16\[23\],61.5
_12756_,61.48
_12212_,61.47
_13413_,61.46
decode.regfile.registers_27\[18\],61.46
_04511_,61.42
decode.regfile.registers_1\[1\],61.42
clknet_leaf_55_clock,61.42
_05613_,61.41
_00366_,61.38
_10945_,61.36
decode.regfile.registers_10\[14\],61.36
_04038_,61.35
clknet_leaf_179_clock,61.32
decode.regfile.registers_16\[2\],61.26
clknet_leaf_118_clock,61.26
_09860_,61.25
_04049_,61.24
decode.regfile.registers_0\[22\],61.18
_04631_,61.16
clknet_leaf_352_clock,61.16
clknet_leaf_57_clock,61.12
clknet_leaf_167_clock,61.12
clknet_leaf_363_clock,61.06
clknet_leaf_8_clock,61.05
_05571_,61.04
_13167_,61.04
_03133_,61.02
_07631_,61.02
_11904_,61.02
_11322_,61
_12730_,60.99
_04598_,60.98
_05057_,60.96
csr._csr_read_data_T_8\[12\],60.945
decode.regfile.registers_7\[27\],60.94
csr.mcycle\[6\],60.9
decode.regfile.registers_14\[21\],60.9
decode.regfile.registers_23\[31\],60.88
_03814_,60.86
_05793_,60.86
_11101_,60.83
_10177_,60.8
clknet_leaf_143_clock,60.68
clknet_leaf_277_clock,60.66
_12428_,60.6
decode.regfile.registers_9\[29\],60.58
decode.regfile.registers_5\[5\],60.54
_05496_,60.52
decode.regfile.registers_18\[21\],60.5
_04945_,60.48
_07573_,60.48
_13286_,60.48
_05907_,60.42
clknet_leaf_228_clock,60.42
_13230_,60.38
_12190_,60.34
decode.regfile.registers_28\[12\],60.34
_07619_,60.32
net281,60.32
_11051_,60.31
_11920_,60.31
_12069_,60.3
_03194_,60.295
_11242_,60.29
_10111_,60.28
_03061_,60.26
_04491_,60.21
_03326_,60.2
_12309_,60.2
decode.regfile.registers_23\[2\],60.2
clknet_leaf_224_clock,60.2
clknet_leaf_351_clock,60.16
_00430_,60.125
_03059_,60.1
_03223_,60.08
csr.io_mem_pc\[4\],60.02
_06892_,60
clknet_leaf_212_clock,59.995
_11976_,59.98
_04152_,59.97
_00407_,59.965
_12008_,59.94
_00756_,59.905
_12936_,59.85
_04734_,59.8
clknet_leaf_197_clock,59.8
_11981_,59.78
_03857_,59.74
_11750_,59.74
decode.regfile.registers_21\[25\],59.74
csr._csr_read_data_T_8\[7\],59.7
_11542_,59.68
_12434_,59.68
decode.regfile.registers_0\[12\],59.67
_11936_,59.64
clknet_leaf_199_clock,59.64
_05340_,59.61
decode.regfile.registers_5\[18\],59.605
_03981_,59.6
_03184_,59.58
_12114_,59.58
_13210_,59.58
decode.regfile.registers_17\[29\],59.58
_04107_,59.57
_00413_,59.56
_12293_,59.56
clknet_leaf_249_clock,59.56
decode.regfile.registers_13\[17\],59.52
clknet_leaf_48_clock,59.52
csr.mcycle\[15\],59.5
decode.regfile.registers_16\[14\],59.5
decode.regfile.registers_9\[4\],59.5
_13105_,59.49
decode.regfile.registers_25\[21\],59.49
decode.regfile.registers_4\[12\],59.46
csr.io_mret_vector\[8\],59.38
_03439_,59.32
_12296_,59.32
decode.regfile.registers_7\[19\],59.32
_12841_,59.29
clknet_leaf_281_clock,59.29
_12911_,59.28
decode.regfile.registers_21\[0\],59.26
net596,59.26
decode.regfile.registers_1\[17\],59.23
_03134_,59.22
decode.regfile.registers_21\[26\],59.16
_10974_,59.14
_13246_,59.08
_04556_,59.05
_03108_,59.04
decode.regfile.registers_19\[30\],59.04
_11631_,59.02
_04931_,58.98
_04143_,58.96
_13280_,58.96
_09980_,58.92
decode.regfile.registers_16\[31\],58.9
_03530_,58.88
decode.regfile.registers_7\[30\],58.86
clknet_leaf_141_clock,58.8
_06407_,58.76
_12266_,58.76
_13107_,58.74
decode.id_ex_ex_rs1_reg\[4\],58.74
decode.regfile.registers_15\[5\],58.74
decode.regfile.registers_15\[21\],58.72
clknet_leaf_21_clock,58.72
clknet_leaf_129_clock,58.66
decode.regfile.registers_3\[16\],58.64
_12413_,58.61
decode.regfile.registers_17\[28\],58.58
decode.regfile.registers_8\[19\],58.58
_12031_,58.53
decode.regfile.registers_3\[12\],58.53
_04705_,58.5
csr.minstret\[9\],58.5
decode.regfile.registers_26\[10\],58.5
_12430_,58.49
_11400_,58.48
decode.regfile.registers_27\[16\],58.44
decode.regfile.registers_6\[12\],58.42
decode.regfile.registers_16\[7\],58.38
_05026_,58.355
_00566_,58.34
_06058_,58.32
decode.regfile.registers_10\[18\],58.315
_11581_,58.26
_13440_,58.26
clknet_leaf_144_clock,58.26
_04773_,58.24
_11780_,58.24
_00415_,58.185
_11487_,58.16
_04882_,58.14
_06323_,58.12
csr._mcycle_T_2\[6\],58.12
decode.regfile.registers_9\[13\],58.095
decode.regfile.registers_10\[17\],58.06
_02981_,58.04
_13275_,58.02
decode.regfile.registers_2\[7\],58.015
decode.regfile.registers_7\[0\],58.01
_03912_,58
_04590_,58
_11182_,57.98
decode.regfile.registers_5\[30\],57.96
_00451_,57.945
_03072_,57.94
_06007_,57.94
clknet_leaf_47_clock,57.935
_03286_,57.92
_12142_,57.92
net2790,57.9
_12196_,57.88
_00409_,57.865
_11865_,57.86
_08633_,57.84
decode.regfile.registers_15\[31\],57.835
decode.regfile.registers_9\[8\],57.82
_13361_,57.8
_04621_,57.76
decode.regfile.registers_10\[5\],57.76
decode.regfile.registers_8\[13\],57.76
_03344_,57.73
_12461_,57.68
decode.regfile.registers_19\[4\],57.62
_04353_,57.6
decode.regfile.registers_25\[14\],57.6
_13078_,57.58
decode.regfile.registers_17\[23\],57.56
csr.minstret\[8\],57.5
_04163_,57.435
decode.regfile.registers_29\[4\],57.415
_13332_,57.36
decode.regfile.registers_18\[0\],57.36
_12754_,57.34
decode.regfile.registers_11\[15\],57.34
decode.regfile.registers_10\[27\],57.3
decode.regfile.registers_21\[23\],57.26
_11340_,57.24
decode.regfile.registers_20\[28\],57.24
clknet_leaf_361_clock,57.24
clknet_leaf_145_clock,57.18
_04811_,57.16
decode.regfile.registers_17\[20\],57.16
_12126_,57.14
_12751_,57.14
net2739,57.12
decode.regfile.registers_10\[26\],57.06
_05908_,57.04
_11600_,57.02
_13239_,57.02
decode.regfile.registers_15\[7\],57.005
_06001_,56.98
_11711_,56.98
_12255_,56.98
decode.regfile.registers_1\[30\],56.98
_12365_,56.96
decode.regfile.registers_23\[18\],56.94
_12390_,56.91
decode.regfile.registers_22\[30\],56.9
decode.regfile.registers_22\[31\],56.88
_05852_,56.78
decode.regfile.registers_14\[20\],56.78
_03193_,56.74
_04594_,56.72
_12079_,56.66
_02967_,56.64
_05589_,56.64
_13403_,56.64
_11590_,56.63
_13120_,56.62
_03897_,56.58
_03358_,56.56
clknet_leaf_126_clock,56.56
_03900_,56.54
_05095_,56.52
_12248_,56.52
_11897_,56.5
_03354_,56.48
_04549_,56.48
clknet_leaf_79_clock,56.48
decode.regfile.registers_12\[15\],56.46
_11562_,56.44
_13172_,56.44
decode.regfile.registers_17\[4\],56.44
_04726_,56.4
_03784_,56.39
_04927_,56.36
decode.regfile.registers_15\[17\],56.345
_12087_,56.34
clknet_leaf_194_clock,56.34
_04548_,56.26
clknet_leaf_217_clock,56.26
_12743_,56.24
_09921_,56.22
_00645_,56.18
_05894_,56.18
clknet_leaf_299_clock,56.18
net445,56.18
_03322_,56.16
_13136_,56.14
_13319_,56.12
_07743_,56.1
_13037_,56.1
decode.regfile.registers_18\[28\],56.08
decode.regfile.registers_7\[12\],56.08
clknet_leaf_76_clock,56.06
_12953_,56.04
_04435_,56.02
_12107_,56.02
_11758_,56
_00401_,55.985
_04278_,55.98
clknet_leaf_182_clock,55.94
_11302_,55.93
_03851_,55.915
decode.regfile.registers_20\[21\],55.9
_11431_,55.88
_07731_,55.86
_11965_,55.86
decode.regfile.registers_20\[14\],55.855
decode.regfile.registers_18\[20\],55.84
_04432_,55.78
_00668_,55.76
_05886_,55.72
_11324_,55.72
_12970_,55.7
_05984_,55.68
_11659_,55.65
decode.regfile.registers_25\[3\],55.64
decode.regfile.registers_9\[19\],55.56
decode.regfile.registers_1\[14\],55.54
_11523_,55.52
_12839_,55.52
decode.regfile.registers_13\[20\],55.48
_11354_,55.46
decode.regfile.registers_17\[2\],55.44
clknet_leaf_158_clock,55.38
clknet_leaf_280_clock,55.34
_11237_,55.33
_03164_,55.3
decode.regfile.registers_25\[20\],55.3
_03803_,55.28
_07701_,55.28
_11272_,55.26
_13179_,55.26
_12327_,55.23
_11569_,55.22
decode.regfile.registers_0\[17\],55.22
_04970_,55.2
_11480_,55.18
clknet_leaf_41_clock,55.18
_07468_,55.16
decode.regfile.registers_21\[22\],55.16
decode.regfile.registers_29\[8\],55.16
_03005_,55.14
_03649_,55.14
_04141_,55.14
_11502_,55.13
decode.regfile.registers_24\[3\],55.13
decode.regfile.registers_23\[23\],55.12
_03434_,55.1
_06022_,55.1
_12886_,55.1
decode.regfile.registers_24\[17\],55.1
_03205_,55.09
